country,city,update_time_utc,jams_delay,traffic_index_live,jams_lenght_kms,jams_count,traffic_index_week_ago,update_time_utc_week_ago,travel_time_live_per_10_kms_mins,travel_time_historic_per_10_kms_mins,mins_delay,year
ZAF,pretoria,2024-10-14 12:16:30.001,180.2,23.0,21.5,60.0,25.0,2024-10-07 12:31:30.000,14.228126536370198,13.744271199276612,0.4838553370935852,2024
BEL,mons,2024-10-11 11:01:30.000,0.0,18.0,0.0,0.0,16.0,2024-10-04 11:01:30.001,10.84756908623256,10.588636544544968,0.258932541687594,2024
DEU,karlsruhe,2024-11-21 06:45:29.697,55.4,27.0,13.0,15.0,39.0,2024-11-14 06:59:58.514,11.580336856595409,10.871373886413824,0.7089629701815863,2024
AUS,canberra,2024-11-03 09:01:00.000,11.6,7.0,0.7,3.0,7.0,2024-10-27 09:01:30.000,11.882978413234389,11.810875234731736,0.0721031785026529,2024
NLD,rotterdam,2024-11-11 09:01:30.000,22.6,22.0,8.0,8.0,18.0,2024-11-04 09:01:30.001,11.641702908540683,10.96438683722942,0.6773160713112638,2024
TUR,istanbul,2025-01-13 03:46:30.000,272.7,17.0,103.9,56.0,10.0,2025-01-06 03:46:30.000,15.506116447217872,13.477126525244866,2.0289899219730057,2025
DEU,kiel,2024-12-22 03:01:30.000,0.0,0.0,0.0,0.0,0.0,2024-12-15 03:01:30.000,11.862241575084925,11.685903341004952,0.1763382340799708,2024
POL,warsaw,2025-01-08 12:46:30.000,124.9,33.0,29.0,43.0,5.0,2025-01-01 12:31:30.001,17.083768362745925,16.50804463662818,0.5757237261177437,2025
LTU,vilnius,2024-11-10 03:01:30.000,0.0,0.0,0.0,0.0,0.0,2024-11-03 03:01:30.000,13.037750736906098,12.850800775048722,0.1869499618573762,2024
USA,jacksonville,2024-11-16 23:00:51.755,101.7,16.0,9.0,23.0,18.0,2024-11-09 23:31:09.302,10.75399528051353,10.263595138498376,0.4904001420151544,2024
GRC,thessaloniki,2025-01-02 18:01:30.001,21.8,23.0,2.0,7.0,24.0,2024-12-26 18:01:30.000,16.16604320204066,16.458103115976424,-0.2920599139357627,2025
